artist_name,listeners,playcount,plays_per_listener,similar_artists,tags,lastfm_url,fetched_at,breakout
Chappell Roan,2610451,343582587,131.62,"Olivia Rodrigo, Sabrina Carpenter, Lorde, Reneé Rapp, Taylor Swift","pop, indie pop, synthpop, queer, electropop",https://www.last.fm/music/Chappell+Roan,2026-06-08T02:33:38.784120,1
Sabrina Carpenter,3303915,686868843,207.9,"Olivia Rodrigo, Taylor Swift, Madison Beer, Ariana Grande, Tate McRae","pop, female vocalists, rnb, american, my top songs",https://www.last.fm/music/Sabrina+Carpenter,2026-06-08T02:33:39.659101,1
Doechii,2076091,99306723,47.83,"Iamdoechii, Megan Thee Stallion, SZA, Doja Cat, Flo Milli","rap, hip hop, rnb, Hip-Hop, pop rap",https://www.last.fm/music/Doechii,2026-06-08T02:33:40.247090,1
Benson Boone,1516655,47061349,31.03,"Alex Warren, Matt Hansen, Daniel Seavey, Damiano David, Lewis Capaldi","pop, pop rock, rock, my top songs, singer-songwriter",https://www.last.fm/music/Benson+Boone,2026-06-08T02:33:40.797554,0
Gracie Abrams,1850638,297146710,160.56,"Alessi Rose, Maisie Peters, Lexi Jayde, Sadie Jean, Devon Gabriella","pop, indie pop, my top songs, singer-songwriter, female vocalists",https://www.last.fm/music/Gracie+Abrams,2026-06-08T02:33:41.375491,1
Teddy Swims,1190105,22165171,18.62,"Victor Ray, Rag'n'Bone Man, JP Cooper, GoldFord, Lewis Capaldi","soul, singer-songwriter, pop, rnb, Neo-Soul",https://www.last.fm/music/Teddy+Swims,2026-06-08T02:33:41.969901,0
Noah Kahan,1641944,202306732,123.21,"Brenn!, Michael Marcagi, Mumford & Sons, Hozier, Chance Peña","indie, folk, singer-songwriter, acoustic, indie folk",https://www.last.fm/music/Noah+Kahan,2026-06-08T02:33:42.521059,1
Rema,993495,21242269,21.38,"Asake, Wizkid, Victony, Davido, Omah Lay","afrobeats, trap, nigerian, pop, afrobeat",https://www.last.fm/music/Rema,2026-06-08T02:33:43.069888,0
Ice Spice,1519698,50482472,33.22,"JT, Latto, Nicki Minaj, City Girls, Coi Leray","rap, drill, Hip-Hop, trap, mother",https://www.last.fm/music/Ice+Spice,2026-06-08T02:33:43.796304,0
Tyla,1535332,54417409,35.44,"FLO, Normani, Summer Walker, Chlöe, Jae Stephens","rnb, pop, south africa, amapiano, afrobeat",https://www.last.fm/music/Tyla,2026-06-08T02:33:44.437873,0
Tinashe,1650199,86258821,52.27,"Normani, Kelela, Victoria Monét, Chlöe, Jae Stephens","rnb, pop, soul, Hip-Hop, british",https://www.last.fm/music/Tinashe,2026-06-08T02:33:45.114200,1
Clairo,2974508,360462505,121.18,"Shelly, beabadoobee, Faye Webster, The Marías, Phoebe Bridgers","bedroom pop, indie pop, dream pop, Lo-Fi, pop",https://www.last.fm/music/Clairo,2026-06-08T02:33:46.328526,1
FKA twigs,1698503,158516685,93.33,"Kelela, Arca, Shygirl, Eartheater, Björk","trip-hop, electronic, experimental, dream pop, alternative rnb",https://www.last.fm/music/FKA+twigs,2026-06-08T02:33:46.936811,1
Ethel Cain,1309978,161890182,123.58,"Nicole Dollanganger, Vyva Melinkolya, Wulven, 1017 ALYX 9SM, Midwife","dream pop, slowcore, ambient, dark ambient, singer-songwriter",https://www.last.fm/music/Ethel+Cain,2026-06-08T02:33:47.521180,0
Olivia Rodrigo,3181490,587943763,184.8,"Sabrina Carpenter, Taylor Swift, Chappell Roan, Harry Styles, Gracie Abrams","pop, pop rock, rock, indie pop, female vocalists",https://www.last.fm/music/Olivia+Rodrigo,2026-06-08T02:33:48.078333,1
Billie Eilish,4284559,851310773,198.69,"FINNEAS, Olivia Rodrigo, Melanie Martinez, Lana Del Rey, Ariana Grande","pop, indie pop, electropop, art pop, alternative",https://www.last.fm/music/Billie+Eilish,2026-06-08T02:33:48.687612,1
Doja Cat,3689082,478329066,129.66,"SZA, Cardi B, Doja Cat & The Weeknd, Ariana Grande, Nicki Minaj","pop, rnb, rap, Hip-Hop, hip hop",https://www.last.fm/music/Doja+Cat,2026-06-08T02:33:49.249367,1
Lil Nas X,2704918,117348051,43.38,"Lil Nas X & Jack Harlow, 24kGoldn, The Kid LAROI, Jack Harlow, Post Malone","Hip-Hop, rap, pop, country rap, trap",https://www.last.fm/music/Lil+Nas+X,2026-06-08T02:33:49.931750,1
Roddy Ricch,1559070,50263114,32.24,"Polo G, Lil Baby, A Boogie wit da Hoodie, Lil Tjay, Gunna","Hip-Hop, rap, trap, hip hop, american",https://www.last.fm/music/Roddy+Ricch,2026-06-08T02:33:50.743528,0
Giveon,1081052,45467218,42.06,"Sonder, Chase Shakur, H.E.R., RealestK, Daniel Caesar","rnb, Neo-Soul, soul, pop, contemporary rnb",https://www.last.fm/music/Giveon,2026-06-08T02:33:51.367489,0
Surfaces,913059,15577377,17.06,"Forrest Frank, Tai Verdes, Peach Tree Rascals, Quinn XCII, khai dreams","pop, soul, rnb, indie, USA",https://www.last.fm/music/Surfaces,2026-06-08T02:33:52.243709,0
Glass Animals,2672300,139082004,52.05,"Saint Motel, Max Frost, half•alive, Sir Sly, Joywave","electronic, trip-hop, indie, british, dubstep",https://www.last.fm/music/Glass+Animals,2026-06-08T02:33:53.012894,1
Tate McRae,2308676,291077996,126.08,"Madison Beer, Nessa Barrett, Gracie Abrams, Sabrina Carpenter, Zara Larsson","pop, my top songs, Canadian, electropop, canada",https://www.last.fm/music/Tate+McRae,2026-06-08T02:33:53.652719,1
Stephen Sanchez,1563825,31090573,19.88,"JVKE, Chance Peña, Cody Fry, Brenn!, David Kushner","folk, singer-songwriter, indie pop, indie, folk pop",https://www.last.fm/music/Stephen+Sanchez,2026-06-08T02:33:54.288958,0
Conan Gray,2464846,264863858,107.46,"Gracie Abrams, Reneé Rapp, Olivia Rodrigo, Maisie Peters, Ricky Montgomery","pop, indie pop, my top songs, indie, american",https://www.last.fm/music/Conan+Gray,2026-06-08T02:33:55.001926,1
Tai Verdes,581490,9898319,17.02,"Arden Jones, Justus Bennetts, Surfaces, Peach Tree Rascals, DOUBLECAMP","indie pop, indie, los angeles, american, rnb",https://www.last.fm/music/Tai+Verdes,2026-06-08T02:33:55.983707,0
GAYLE,797681,9014428,11.3,"Leah Kate, Emeline, Em Beihold, Charlotte Sands, Jax","pop, USA, pop rock, female vocalists, upcoming album 2022",https://www.last.fm/music/GAYLE,2026-06-08T02:33:56.643216,0
Joji,3068795,383855281,125.08,"88rising, Bryant Barnes, Alan Vuong, keshi, d4vd","rnb, Lo-Fi, Hip-Hop, alternative rnb, japanese",https://www.last.fm/music/Joji,2026-06-08T02:33:57.388183,1
Cautious Clay,517867,7378684,14.25,"Odie, Chiiild, Christian Kuria, Khalid, Emotional Oranges","rnb, soul, alternative rnb, pop, singer-songwriter",https://www.last.fm/music/Cautious+Clay,2026-06-08T02:33:57.927229,0
Omar Apollo,1544281,66693191,43.19,"Kali Uchis, Destin Conrad, Ravyn Lenae, orion sun, Rex Orange County","rnb, soul, funk, indie, alternative rnb",https://www.last.fm/music/Omar+Apollo,2026-06-08T02:33:58.559410,1
Snoh Aalegra,906195,21487119,23.71,"Cleo Sol, SiR, Lucky Daye, H.E.R., Sinéad Harnett","soul, rnb, swedish, pop, female vocalists",https://www.last.fm/music/Snoh+Aalegra,2026-06-08T02:33:59.100260,0
UMI,911996,32618092,35.77,"Raveena, Jenevieve, UMI, V, Mahalia, Hope Tala","rnb, Hip-Hop, soul, rutracker, upcoming album 2022",https://www.last.fm/music/UMI,2026-06-08T02:33:59.754382,0
Arlo Parks,774601,17294519,22.33,"Sault, Charlotte Day Wilson, Yaya Bey, Jessie Ware, RAYE","soul, rnb, pop, Neo-Soul, indie",https://www.last.fm/music/Arlo+Parks,2026-06-08T02:34:00.358919,0
beabadoobee,2687384,334613122,124.51,"Clairo, Shelly, The Marías, wave to earth, Unflirt","indie pop, indie rock, indie, bedroom pop, dream pop",https://www.last.fm/music/beabadoobee,2026-06-08T02:34:00.933553,1
Wet Leg,937800,29661289,31.63,"Wolf Alice, The Last Dinner Party, Courtney Barnett, Dry Cleaning, Fontaines D.C.","indie rock, post-punk, Crank wave, indie pop, indie",https://www.last.fm/music/Wet+Leg,2026-06-08T02:34:01.520439,0
Phoebe Bridgers,2192141,295985173,135.02,"boygenius, Lucy Dacus, Julien Baker, Better Oblivion Community Center, Searows","singer-songwriter, indie folk, folk, indie, indie rock",https://www.last.fm/music/Phoebe+Bridgers,2026-06-08T02:34:02.169024,1
Lizzy McAlpine,1463793,117530074,80.29,"Tiny Habits, Leith Ross, Gracie Abrams, Searows, Phoebe Bridgers","indie pop, folk, indie folk, my top songs, USA",https://www.last.fm/music/Lizzy+McAlpine,2026-06-08T02:34:02.752349,0
Ricky Montgomery,1365054,52502211,38.46,"The Honeysticks, Noah Floersch, Cavetown, Conan Gray, mxmtoon","pop, indie, indie pop, my top songs, american",https://www.last.fm/music/Ricky+Montgomery,2026-06-08T02:34:03.334363,0
Wednesday,383324,15609512,40.72,"MJ Lenderman, Water From Your Eyes, Greg Freeman, This is Lorelei, Snocaps","shoegaze, indie rock, Alt-country, noise rock, indie",https://www.last.fm/music/Wednesday,2026-06-08T02:34:04.073396,0
Mk.gee,726573,33655751,46.32,"Dijon, Derby, Roy Blair, Blood Orange, Choker","indie, electronic, alternative rnb, indie pop, rnb",https://www.last.fm/music/Mk.gee,2026-06-08T02:34:04.711479,0
Indigo De Souza,710744,22723195,31.97,"Samia, Julia Jacklin, Blondshell, Haley Heynderickx, Lucy Dacus","indie rock, indie pop, singer-songwriter, indie, North Carolina",https://www.last.fm/music/Indigo+De+Souza,2026-06-08T02:34:05.444380,0
Faye Webster,1830057,139200306,76.06,"Clairo, Alice Phoebe Lou, Leith Ross, Phoebe Bridgers, Adrianne Lenker","indie folk, singer-songwriter, indie, folk, indie pop",https://www.last.fm/music/Faye+Webster,2026-06-08T02:34:06.046977,1
Circuit des Yeux,82768,932193,11.26,"Jenny Hval, Deradoorian, Anika, U.S. Girls, Kathryn Mohr","experimental, Avant-Garde, Lo-Fi, folk, female vocalists",https://www.last.fm/music/Circuit+des+Yeux,2026-06-08T02:34:07.311161,0
Squirrel Flower,244252,2937128,12.02,"Tomberlin, Skullcrusher, Hand Habits, Allegra Krieger, Lomelda","indie folk, Lo-Fi, folk, indie, dream pop",https://www.last.fm/music/Squirrel+Flower,2026-06-08T02:34:08.395563,0
Waxahatchee,477598,19326960,40.47,"Snocaps, Jess Williamson, Jenny Lewis, Ratboy, Lucinda Williams","singer-songwriter, indie, female vocalists, alternative, acoustic",https://www.last.fm/music/Waxahatchee,2026-06-08T02:34:09.120512,0
Adrianne Lenker,1383984,118583256,85.68,"Big Thief, Haley Heynderickx, Lomelda, Phoebe Bridgers, Leith Ross","singer-songwriter, indie folk, folk, female vocalists, indie",https://www.last.fm/music/Adrianne+Lenker,2026-06-08T02:34:09.793283,0
Helena Deland,205852,2685449,13.05,"Hildegard, Julie Byrne, Katy Kirby, Tomberlin, Julia Jacklin","folk, singer-songwriter, Canadian, indie, female vocalists",https://www.last.fm/music/Helena+Deland,2026-06-08T02:34:10.668850,0
Hand Habits,239621,2608527,10.89,"Cate Le Bon, Joan Shelley, Skullcrusher, Squirrel Flower, Cass McCombs","folk, indie, indie folk, pop, folk pop",https://www.last.fm/music/Hand+Habits,2026-06-08T02:34:11.324688,0
