log_listeners,log_playcount,plays_per_listener,log_total_views,log_avg_vpd,max_views_per_day,engagement_rate,video_count,headline_count,sentiment_score,avg_sentiment_confidence,artist_name
2.7276204,0.7186363,0.058157843,0.036379807,0.29361492,-0.044483848,0.016999342,0.0,0.0,0.0,0.047258202,Chappell Roan
2.676231,0.7342696,0.058157843,0.036379807,0.29361492,0.032273408,0.016999342,0.0,0.0,0.0,0.07843036,Sabrina Carpenter
2.694256,0.69655514,0.058157843,0.036379807,0.29361492,0.032273408,0.016999342,0.0,0.0,0.0,-0.14119188,Doechii
-2.7760432,-0.8841702,-0.058204293,0.013065241,0.23712546,0.04636688,-0.008886056,0.0,0.0,0.0,-0.10789364,Benson Boone
2.707403,0.7342696,0.058157843,0.036379807,0.29361492,0.032273408,0.016999342,0.0,0.0,0.0,0.047258202,Gracie Abrams
-2.7760432,-0.9042548,-0.058204293,0.013065241,0.23712546,0.04636688,-0.008886056,0.0,0.0,0.0,-0.08780897,Teddy Swims
2.6130295,0.7342696,0.058157843,0.036379807,0.29361492,0.012056218,-0.024384487,0.0,0.0,0.0,0.047258202,Noah Kahan
-2.7933192,-0.9356884,-0.058204293,0.013065241,0.23712546,0.04636688,-0.008886056,0.0,0.0,0.0,-0.039099462,Rema
-2.8084002,-0.9356884,-0.058204293,0.013065241,0.23712546,0.04636688,0.0061948034,0.0,0.0,0.0,-0.039099462,Ice Spice
-2.4380298,-0.8841702,-0.058204293,0.013065241,0.23712546,0.04636688,0.0061948034,0.0,0.0,0.0,-0.10789364,Tyla
2.6851141,0.6204634,0.058157843,-0.104680404,0.29361492,0.032273408,0.016999342,0.0,0.0,0.0,0.047258202,Tinashe
2.625763,0.7342696,0.058157843,0.036379807,-0.41512346,0.012056218,0.016999342,0.0,0.0,0.0,0.061551422,Clairo
2.5488884,0.678886,0.058157843,-0.104680404,-0.41512346,-0.044483848,-0.024384487,0.0,0.0,0.0,0.1272038,FKA twigs
-2.6445,0.78353405,0.085005626,-0.104680404,-0.27737802,-0.055278778,0.0061948034,0.0,0.0,0.0,-0.1636826,Ethel Cain
2.6931098,0.7342696,0.058157843,0.036379807,0.29361492,0.032273408,0.016999342,0.0,0.0,0.0,0.061551422,Olivia Rodrigo
2.683034,0.69655514,0.058157843,0.036379807,0.29361492,0.032273408,-0.024384487,0.0,0.0,0.0,-0.14119188,Billie Eilish
2.694256,0.7114942,0.058157843,0.036379807,0.29361492,0.032273408,0.016999342,0.0,0.0,0.0,-0.08608346,Doja Cat
2.6769733,0.7342696,-0.0072974972,0.036379807,0.29361492,0.032273408,-0.024384487,0.0,0.0,0.0,0.047258202,Lil Nas X
-0.42340466,-0.9236566,-0.091658264,0.013065241,-0.41512346,-0.010259387,-0.024384487,0.0,0.0,0.0,-0.1271118,Roddy Ricch
-2.8136623,-0.9356884,-0.058204293,0.013065241,0.23712546,-0.010259387,0.0061948034,0.0,0.0,0.0,0.0004168516,Giveon
-2.7692137,-0.9356884,-0.058204293,0.013065241,0.23712546,0.04636688,-0.008886056,0.0,0.0,0.0,0.047350425,Surfaces
2.628834,0.7186363,0.058157843,0.036379807,-0.41512346,-0.044483848,-0.024384487,0.0,0.0,0.0,0.047258202,Glass Animals
2.6961808,0.7237886,0.058157843,0.036379807,0.29361492,0.032273408,-0.024384487,0.0,0.0,0.0,0.0075575635,Tate McRae
-0.13695198,-0.92328787,-0.091658264,0.013065241,-0.41512346,-0.030712765,-0.024384487,0.0,0.0,0.0,-0.10702712,Stephen Sanchez
2.714473,0.69655514,0.058157843,0.036379807,0.29361492,0.012056218,0.016999342,0.0,0.0,0.0,-0.14119188,Conan Gray
-2.6525764,-0.86458004,-0.058204293,-0.03758972,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,0.1861366,Tai Verdes
-2.6374958,-0.86458004,-0.058204293,-0.03758972,-0.27737802,-0.030712765,-0.008886056,0.0,0.0,0.0,0.1861366,GAYLE
2.6931098,0.7342696,0.058157843,0.036379807,0.29361492,0.032273408,0.016999342,0.0,0.0,0.0,0.061551422,Joji
-2.6855643,-0.81306183,-0.058204293,-0.03758972,-0.27737802,-0.030712765,-0.008886056,0.0,0.0,0.0,-0.10789364,Cautious Clay
-0.12478207,0.75598955,-0.02191929,0.036379807,0.29361492,0.057887554,0.016999342,0.0,0.0,0.0,0.2307854,Omar Apollo
-2.6374958,-0.86458004,-0.058204293,-0.03758972,-0.27737802,-0.030712765,-0.008886056,0.0,0.0,0.0,0.1861366,Snoh Aalegra
-2.7854056,-0.9356884,-0.058204293,0.013065241,0.23712546,-0.010259387,-0.008886056,0.0,0.0,0.0,0.047350425,UMI
-2.7028403,-0.91523504,-0.058204293,0.013065241,-0.27737802,-0.030712765,-0.008886056,0.0,0.0,0.0,-0.039099462,Arlo Parks
2.714473,0.69655514,0.058157843,0.036379807,0.29361492,0.012056218,0.016999342,0.0,0.0,0.0,-0.14119188,beabadoobee
-2.7069914,-0.91523504,-0.058204293,0.013065241,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,0.0004168516,Wet Leg
2.6650088,0.7342696,0.058157843,0.036379807,0.29361492,0.032273408,-0.024384487,0.0,0.0,0.0,0.07843036,Phoebe Bridgers
-2.6445,0.78353405,0.085005626,-0.104680404,-0.27737802,-0.055278778,0.0061948034,0.0,0.0,0.0,-0.1636826,Lizzy McAlpine
-2.6525764,-0.91523504,-0.058204293,0.013065241,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,0.1861366,Ricky Montgomery
-2.824592,-0.9356884,-0.058204293,0.013065241,0.23712546,-0.010259387,0.0061948034,0.0,0.0,0.0,-0.039099462,Wednesday
-2.7956676,-0.9356884,0.085005626,0.013065241,0.23712546,0.04636688,-0.008886056,0.0,0.0,0.0,-0.039099462,Mk.gee
-2.7006452,-0.81306183,-0.058204293,-0.03758972,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,-0.10789364,Indigo De Souza
2.626909,0.6411715,0.058157843,-0.104680404,-0.41512346,-0.044483848,0.016999342,0.0,0.0,0.0,-0.14119188,Faye Webster
-2.7006452,-0.81306183,-0.058204293,-0.03758972,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,-0.10789364,Circuit des Yeux
-2.693816,-0.86458004,-0.058204293,-0.03758972,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,0.047350425,Squirrel Flower
-2.7179213,-0.86458004,-0.058204293,-0.03758972,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,-0.039099462,Waxahatchee
-2.6445,0.78353405,0.085005626,-0.104680404,-0.27737802,-0.055278778,0.0061948034,0.0,0.0,0.0,-0.1636826,Adrianne Lenker
-2.6525764,-0.86458004,-0.058204293,-0.03758972,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,0.1861366,Helena Deland
-2.693816,-0.86458004,-0.058204293,-0.03758972,-0.27737802,-0.030712765,0.0061948034,0.0,0.0,0.0,0.047350425,Hand Habits
